mean_dead,mean_recovered,mean_infected,min_dead,min_recovered,min_infected,last_dead,last_recovered,last_infected,sd_dead,sd_recovered,sd_infected,trend_dead,trend_recovered,trend_infected,max_dead,max_recovered,max_infected,snap_25_dead,snap_25_recovered,snap_25_infected,snap_50_dead,snap_50_recovered,snap_50_infected,snap_75_dead,snap_75_recovered,snap_75_infected,snap_100_dead,snap_100_recovered,snap_100_infected,snap_125_dead,snap_125_recovered,snap_125_infected,snap_150_dead,snap_150_recovered,snap_150_infected,snap_175_dead,snap_175_recovered,snap_175_infected,snap_200_dead,snap_200_recovered,snap_200_infected,snap_225_dead,snap_225_recovered,snap_225_infected,snap_250_dead,snap_250_recovered,snap_250_infected,snap_275_dead,snap_275_recovered,snap_275_infected,snap_300_dead,snap_300_recovered,snap_300_infected,snap_325_dead,snap_325_recovered,snap_325_infected,snap_350_dead,snap_350_recovered,snap_350_infected,snap_375_dead,snap_375_recovered,snap_375_infected,snap_400_dead,snap_400_recovered,snap_400_infected
576.422,5.91,19.666,0.0,0.0,0.0,683.0,7.0,0.0,233.3898196494427,2.4750555549320272,69.2978098066606,1.0701344725378892,0.011031932127728496,-0.16929614918459676,683.0,7.0,411.0,2.0,0.0,3.0,11.0,0.0,68.0,318.0,2.0,279.0,651.0,7.0,12.0,666.0,7.0,6.0,677.0,7.0,1.0,679.0,7.0,2.0,682.0,7.0,1.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0,683.0,7.0,0.0
221.166,6.334,9.28,0.0,0.0,0.0,261.0,8.0,0.0,77.31291253083155,2.644701117328773,29.26126449762527,0.3807069468277869,0.014871755487021942,-0.08219111276445105,261.0,8.0,198.0,3.0,0.0,7.0,56.0,3.0,166.0,198.0,3.0,8.0,210.0,4.0,2.0,215.0,5.0,11.0,231.0,7.0,11.0,248.0,7.0,5.0,256.0,8.0,3.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0,261.0,8.0,0.0
0.97,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.16497272501840865,0.0003492013968055852,0.0,-0.0003252493009972042,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4.752,0.0,0.142,0.0,0.0,0.0,5.0,0.0,0.0,1.0092056282046846,0.0,0.6146836584780782,0.002819915279661119,0.0,-0.0015849183396733591,5.0,0.0,4.0,3.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
324.81,7.1,13.06,0.0,0.0,0.0,368.0,8.0,0.0,110.17839125708821,2.3541452801388365,49.20801154283718,0.45342915771663045,0.009516806067224253,-0.12503925215700865,368.0,8.0,317.0,4.0,1.0,10.0,88.0,1.0,286.0,345.0,8.0,10.0,358.0,8.0,3.0,364.0,8.0,2.0,367.0,8.0,1.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0,368.0,8.0,0.0
193.474,4.458,7.74,0.0,0.0,0.0,212.0,5.0,0.0,55.82699458147529,1.417122436488819,30.040645798650548,0.20196891987567922,0.005731558926235699,-0.07946566186264743,212.0,5.0,206.0,5.0,0.0,91.0,174.0,2.0,34.0,212.0,4.0,1.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0,212.0,5.0,0.0
471.2,10.282,17.318,0.0,0.0,0.0,537.0,12.0,0.0,160.33924036242757,3.703306090508872,59.26662531307116,0.6818653834615334,0.017117876471505873,-0.1634951339805359,537.0,12.0,355.0,3.0,0.0,16.0,132.0,3.0,337.0,475.0,9.0,27.0,509.0,11.0,9.0,522.0,11.0,5.0,529.0,11.0,4.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0,537.0,12.0,0.0
172.482,3.318,9.294,0.0,0.0,0.0,206.0,4.0,0.0,56.81142205578,1.1936816996167656,30.532008843179845,0.2936077184308734,0.006176040704162811,-0.08360073440293758,206.0,4.0,211.0,2.0,0.0,40.0,89.0,0.0,82.0,152.0,3.0,7.0,163.0,3.0,6.0,171.0,2.0,3.0,176.0,3.0,2.0,179.0,3.0,1.0,182.0,4.0,5.0,191.0,4.0,2.0,195.0,4.0,5.0,204.0,4.0,2.0,206.0,4.0,0.0,206.0,4.0,0.0,206.0,4.0,0.0,206.0,4.0,0.0,206.0,4.0,0.0
395.254,4.334,14.922,0.0,0.0,0.0,457.0,5.0,0.0,146.7562246856993,1.6353727403867142,53.92921208398962,0.6365271381085518,0.006908619634478536,-0.1364192816771267,457.0,6.0,352.0,2.0,0.0,1.0,22.0,1.0,211.0,381.0,4.0,55.0,443.0,5.0,6.0,452.0,5.0,4.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0,457.0,5.0,0.0
0.97,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.16497272501840865,0.0003492013968055852,0.0,-0.0003252493009972042,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
