mean_count lineageA,mean_count lineageB,mean_count lineageC,mean_count lineageD,mean_count turtles,min_count lineageA,min_count lineageB,min_count lineageC,min_count lineageD,min_count turtles,last_count lineageA,last_count lineageB,last_count lineageC,last_count lineageD,last_count turtles,sd_count lineageA,sd_count lineageB,sd_count lineageC,sd_count lineageD,sd_count turtles,trend_count lineageA,trend_count lineageB,trend_count lineageC,trend_count lineageD,trend_count turtles,max_count lineageA,max_count lineageB,max_count lineageC,max_count lineageD,max_count turtles,snap_50_count lineageA,snap_50_count lineageB,snap_50_count lineageC,snap_50_count lineageD,snap_50_count turtles,snap_100_count lineageA,snap_100_count lineageB,snap_100_count lineageC,snap_100_count lineageD,snap_100_count turtles,snap_150_count lineageA,snap_150_count lineageB,snap_150_count lineageC,snap_150_count lineageD,snap_150_count turtles
0.205,0.185,0.13,0.155,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9016512629614598,0.8489846877299924,0.7570336848516099,0.7816488981633603,3.210821545959858,-0.005874896872421809,-0.005319882997074925,-0.003795094877371932,-0.0044813620340508524,-0.019471236780919533,5.0,6.0,5.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.715,18.085,20.74,8.12,57.66,3.0,5.0,5.0,4.0,19.0,13.0,21.0,25.0,9.0,68.0,3.5147937350575655,5.222812939403445,6.689723462147008,1.5118200951171432,16.7016286630975,0.04979749493737342,0.06859596489912247,0.0941723543088577,0.02015150378759469,0.23271731793294834,13.0,24.0,25.0,9.0,68.0,8.0,18.0,14.0,7.0,47.0,13.0,21.0,25.0,9.0,68.0,13.0,21.0,25.0,9.0,68.0
11.26,9.515,9.285,10.525,40.585,5.0,5.0,5.0,5.0,20.0,13.0,10.0,10.0,12.0,45.0,2.7572450018088586,1.2648221218811806,1.24650511430961,2.503872001520852,7.472133229540278,0.038493962349058726,0.012848571214280376,0.016540163504087612,0.033913597839946005,0.10179629490737267,13.0,10.0,10.0,12.0,45.0,8.0,10.0,9.0,9.0,36.0,13.0,10.0,10.0,12.0,45.0,13.0,10.0,10.0,12.0,45.0
16.435,8.865,7.34,9.27,41.91,5.0,5.0,5.0,5.0,20.0,18.0,10.0,8.0,10.0,46.0,3.2993597863828055,1.6990512058204748,0.940425435640697,1.3368245958239955,6.80308018473986,0.038835220880522034,0.023686342158553968,0.013360834020850525,0.017323933098327433,0.09320633015825394,20.0,10.0,8.0,10.0,46.0,19.0,6.0,6.0,9.0,40.0,18.0,10.0,8.0,10.0,46.0,18.0,10.0,8.0,10.0,46.0
0.22,0.245,0.285,0.35,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9651942809610857,1.017337210564912,1.045836985385385,1.1302654555457325,4.065710270051229,-0.006295657391434785,-0.006974424360609015,-0.008009450236255898,-0.009660241506037648,-0.030939773494337356,5.0,5.0,5.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.155,12.185,18.72,9.61,51.67,5.0,4.0,5.0,5.0,20.0,12.0,15.0,22.0,11.0,60.0,1.7323322429603376,4.340596157211603,5.042975312253661,2.075548120376878,12.70279890417861,0.020239255981399504,0.060980274506862664,0.0713852846321158,0.028599714992874833,0.18120453011325285,12.0,16.0,22.0,12.0,61.0,10.0,8.0,14.0,6.0,38.0,12.0,15.0,22.0,11.0,60.0,12.0,15.0,22.0,11.0,60.0
0.195,0.165,0.17,0.13,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840818054040233,0.8110332915484987,0.855043858524224,0.7369531871157127,3.2022492095400716,-0.005580889522238055,-0.004770869271731788,-0.004920123003075072,-0.003792094802370059,-0.019063976599414993,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09,0.095,0.085,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6708203932499407,0.6260191690355806,0.6449612391454189,0.6227158260394586,2.5520775850275337,-0.0029385734643366064,-0.002649066226655664,-0.002793819845496139,-0.0025058126453161357,-0.010887272181804552,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.585,0.49,0.49,0.51,2.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390242784552392,1.2328422445714569,1.5066187308008576,1.288371064561766,5.233485931957779,-0.01509262731568289,-0.012418810470261752,-0.013365334133353324,-0.013393834845871143,-0.054270606765169135,6.0,6.0,6.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.08,0.075,0.075,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6077622890571568,0.6112282715974444,0.6077622890571568,0.6077622890571568,2.431455325520068,-0.002216305407635191,-0.0023610590264756598,-0.002216305407635191,-0.002216305407635191,-0.009009975249381245,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
